;Job_Title;Location;Job_Family;Application_Deadline
0;Accounting Analyst;Chennai, India;Finance & Accounting;2/12/2019
1;Accounting Assistant;Chennai, India;Finance & Accounting;2/12/2019
2;Associate Counsel;Jakarta, Indonesia;Legal;3/1/2019
3;Associate Operations Officer – Multilateral Engagement;Washington, DC;Communications;2/13/2019
4;Chief Economist;Washington, DC;Economics;2/24/2019
5;Communications Officer – Branding and Publications;Washington, DC;Communications;2/13/2019
6;Communications Officer – Digital Governance;Washington, DC;Communications;2/13/2019
7;Communications Officer – Industry Cross-Cutting Support;Washington, DC;Communications;2/13/2019
8;Communications Officer – Middle East and North Africa;Cairo, Egypt;Communications;2/13/2019
9;Communications Officer –– Middle East and North Africa;Rabat, Morocco;Communications;2/13/2019
10;Communications Officer – Sub Saharan Africa;Johannesburg, South Africa;Communications;2/13/2019
11;Communications Officer, PROBLUE, ENRGP;Washington, DC;Communications;2/19/2019
12;Counsel, Ethics / Investigator;Washington, DC;Ethics & Internal Justice Systems;2/8/2019
13;Country Manager, Andean Region;Bogota, Colombia;Other;2/12/2019
14;Country Manager, Ethiopia;Addis Ababa, Ethiopia;Other;2/11/2019
15;Country Manager, Madagascar;Antananarivo, Madagascar;Other;2/11/2019
16;Country Manager, Mozambique, Angola, and Zambia;Maputo, Mozambique;Other;2/14/2019
17;Digital Communications Officer – Campaigns and Content;Cairo, Egypt;Communications;2/13/2019
18;Director, WBG Finance IT;Washington, DC;Information Technology;2/12/2019
19;E T Consultant;Phnom Penh, Cambodia;Education;2/12/2019
0;Accounting Analyst;Chennai, India;Finance & Accounting;2/12/2019
1;Accounting Assistant;Chennai, India;Finance & Accounting;2/12/2019
2;Associate Counsel;Jakarta, Indonesia;Legal;3/1/2019
3;Associate Operations Officer – Multilateral Engagement;Washington, DC;Communications;2/13/2019
4;Chief Economist;Washington, DC;Economics;2/24/2019
5;Communications Officer – Branding and Publications;Washington, DC;Communications;2/13/2019
6;Communications Officer – Digital Governance;Washington, DC;Communications;2/13/2019
7;Communications Officer – Industry Cross-Cutting Support;Washington, DC;Communications;2/13/2019
8;Communications Officer – Middle East and North Africa;Cairo, Egypt;Communications;2/13/2019
9;Communications Officer –– Middle East and North Africa;Rabat, Morocco;Communications;2/13/2019
10;Communications Officer – Sub Saharan Africa;Johannesburg, South Africa;Communications;2/13/2019
11;Communications Officer, PROBLUE, ENRGP;Washington, DC;Communications;2/19/2019
12;Counsel, Ethics / Investigator;Washington, DC;Ethics & Internal Justice Systems;2/8/2019
13;Country Manager, Andean Region;Bogota, Colombia;Other;2/12/2019
14;Country Manager, Ethiopia;Addis Ababa, Ethiopia;Other;2/15/2019
15;E T Temporary;Chennai, India;Finance & Accounting;2/8/2019
16;E T Temporary;Port Moresby, Papua New Guinea;Administration/Office Support;2/28/2019
17;Education Specialist;Astana, Kazakhstan;Education;2/18/2019
18;Education Specialist/Economist;Addis Ababa, Ethiopia;Education;2/12/2019
19;Education Specialist/Economist;Nairobi, Kenya;Education;2/15/2019
